RECHTSTRAEGER;QUARTAL;BEKANNTGABE;MEDIUM_MEDIENINHABER;EURO
User 731;19981;4;Movie 69;5
User 579;19974;4;Movie 732;4
User 882;19974;4;Movie 140;3
User 11;19982;4;Movie 372;4
User 541;19981;4;Movie 627;4
User 846;19981;4;Movie 755;3
User 439;19974;4;Movie 276;5
User 854;19974;4;Movie 22;2
User 891;19974;4;Movie 117;3
User 790;19981;4;Movie 98;5
User 312;19982;4;Movie 14;5
User 788;19974;4;Movie 693;2
User 447;19974;4;Movie 410;2
User 802;19974;4;Movie 443;4
User 186;19974;4;Movie 159;5
User 200;19981;4;Movie 449;5
User 445;19981;4;Movie 1143;4
User 561;19981;4;Movie 200;4
User 781;19974;4;Movie 204;4
User 412;19974;4;Movie 684;4
User 864;19981;4;Movie 966;4
User 796;19982;4;Movie 271;5
User 877;19974;4;Movie 60;5
User 7;19981;4;Movie 379;4
User 102;19981;4;Movie 55;3
User 394;19974;4;Movie 158;3
User 645;19982;4;Movie 513;5
User 846;19981;4;Movie 770;5
User 847;19974;4;Movie 1160;4
User 686;19974;4;Movie 451;4
User 848;19981;4;Movie 899;3
User 881;19974;4;Movie 294;3
User 530;19981;4;Movie 333;3
User 815;19974;4;Movie 596;5
User 846;19981;4;Movie 228;5
User 867;19974;4;Movie 258;3
User 890;19974;4;Movie 98;4
User 780;19981;4;Movie 526;5
User 177;19974;4;Movie 181;4
User 543;19974;4;Movie 233;4
User 455;19974;4;Movie 123;3
User 627;19974;4;Movie 713;2
User 806;19974;4;Movie 1071;4
User 1;19974;4;Movie 4;3
User 405;19981;4;Movie 526;1
User 865;19974;4;Movie 169;5
User 715;19974;4;Movie 376;2
User 854;19974;4;Movie 250;4
User 313;19981;4;Movie 82;3
User 255;19974;4;Movie 324;5
User 692;19974;4;Movie 168;2
User 882;19974;4;Movie 71;5
User 629;19974;4;Movie 655;5
User 883;19982;4;Movie 561;3
User 561;19981;4;Movie 539;1
User 753;19982;4;Movie 134;4
User 60;19974;4;Movie 501;3
User 468;19973;4;Movie 118;3
User 537;19981;4;Movie 646;2
User 506;19981;4;Movie 1407;2
User 537;19981;4;Movie 382;3
User 1;19974;4;Movie 263;1
User 214;19982;4;Movie 98;4
User 671;19973;4;Movie 257;5
User 857;19974;4;Movie 14;4
User 892;19981;4;Movie 151;4
User 312;19982;4;Movie 507;5
User 796;19982;4;Movie 9;3
User 871;19981;4;Movie 1385;3
User 868;19974;4;Movie 173;4
User 804;19974;4;Movie 188;4
User 784;19982;4;Movie 754;3
User 90;19982;4;Movie 270;4
User 566;19974;4;Movie 155;2
User 42;19974;4;Movie 71;4
User 389;19974;4;Movie 211;4
User 393;19981;4;Movie 1044;4
User 456;19974;4;Movie 403;2
User 878;19974;4;Movie 655;3
User 145;19981;4;Movie 227;4
User 821;19973;4;Movie 357;5
User 741;19982;4;Movie 496;5
User 887;19974;4;Movie 1012;1
User 524;19981;4;Movie 823;4
User 863;19981;4;Movie 303;1
User 406;19974;4;Movie 507;4
User 551;19982;4;Movie 461;3
User 588;19981;4;Movie 63;5
User 870;19974;4;Movie 386;4
User 796;19982;4;Movie 1101;5
User 660;19981;4;Movie 405;2
User 840;19981;4;Movie 529;4
User 577;19974;4;Movie 79;4
User 655;19981;4;Movie 209;3
User 705;19974;4;Movie 849;3
User 484;19981;4;Movie 449;4
User 749;19974;4;Movie 808;3
User 474;19981;4;Movie 490;5
User 387;19981;4;Movie 289;1
User 559;19981;4;Movie 515;4
User 605;19974;4;Movie 69;5
User 559;19981;4;Movie 144;5
User 788;19974;4;Movie 1;3
User 468;19973;4;Movie 471;3
User 804;19974;4;Movie 719;3
User 402;19974;4;Movie 117;3
User 767;19982;4;Movie 222;5
User 751;19981;4;Movie 849;2
User 296;19981;4;Movie 483;5
User 545;19974;4;Movie 426;3
User 867;19974;4;Movie 252;2
User 696;19981;4;Movie 1062;4
User 666;19974;4;Movie 544;4
User 222;19974;4;Movie 1220;4
User 756;19973;4;Movie 731;3
User 481;19981;4;Movie 322;4
User 847;19974;4;Movie 118;3
User 506;19981;4;Movie 873;4
User 844;19974;4;Movie 50;5
User 814;19981;4;Movie 448;3
User 551;19982;4;Movie 470;5
User 411;19981;4;Movie 449;3
User 288;19981;4;Movie 214;2
User 455;19974;4;Movie 1086;3
User 687;19981;4;Movie 988;3
User 894;19974;4;Movie 333;4
User 679;19981;4;Movie 268;4
User 887;19974;4;Movie 839;4
User 894;19974;4;Movie 246;4
User 805;19974;4;Movie 151;5
User 871;19981;4;Movie 747;3
User 894;19974;4;Movie 297;4
User 622;19974;4;Movie 209;5
User 653;19974;4;Movie 658;2
User 543;19974;4;Movie 391;3
User 718;19974;4;Movie 815;4
User 435;19981;4;Movie 1016;4
User 334;19982;4;Movie 950;3
User 871;19981;4;Movie 1345;3
User 194;19974;4;Movie 78;1
User 648;19974;4;Movie 13;3
User 492;19974;4;Movie 45;3
User 852;19981;4;Movie 820;4
User 712;19973;4;Movie 768;5
User 586;19981;4;Movie 85;3
User 49;19981;4;Movie 1017;3
User 870;19974;4;Movie 216;4
User 327;19981;4;Movie 1218;4
User 642;19981;4;Movie 1000;3
User 727;19981;4;Movie 1139;3
User 637;19974;4;Movie 24;2
User 664;19974;4;Movie 194;4
User 655;19981;4;Movie 269;3
User 524;19981;4;Movie 693;5
User 825;19981;4;Movie 120;3
User 892;19981;4;Movie 849;2
User 758;19974;4;Movie 213;5
User 655;19981;4;Movie 1623;4
User 564;19981;4;Movie 1016;2
User 790;19981;4;Movie 826;1
User 785;19974;4;Movie 12;4
User 851;19982;4;Movie 273;5
User 763;19974;4;Movie 157;4
User 863;19981;4;Movie 326;5
User 846;19981;4;Movie 239;4
User 77;19981;4;Movie 28;5
User 763;19974;4;Movie 70;5
User 676;19982;4;Movie 328;5
User 536;19974;4;Movie 1063;5
User 859;19981;4;Movie 1014;4
User 727;19981;4;Movie 820;2
User 846;19981;4;Movie 1018;4
User 276;19973;4;Movie 260;3
User 536;19974;4;Movie 179;2
User 646;19981;4;Movie 893;3
User 655;19981;4;Movie 46;4
User 647;19974;4;Movie 831;3
User 268;19974;4;Movie 25;3
User 361;19974;4;Movie 70;4
User 756;19973;4;Movie 435;3
User 708;19974;4;Movie 25;3
User 886;19974;4;Movie 1303;1
User 466;19981;4;Movie 1607;5
User 642;19981;4;Movie 1136;4
User 655;19981;4;Movie 1278;2
User 483;19982;4;Movie 743;1
User 606;19974;4;Movie 405;4
User 145;19981;4;Movie 901;1
User 881;19974;4;Movie 183;4
User 592;19974;4;Movie 547;4
User 411;19982;4;Movie 276;3
User 655;19981;4;Movie 520;3
User 795;19974;4;Movie 97;2
User 835;19981;4;Movie 526;3
User 751;19981;4;Movie 1078;3
User 881;19974;4;Movie 161;3
User 79;19981;4;Movie 1;4
User 768;19974;4;Movie 151;2
User 450;19974;4;Movie 1115;4
User 45;19974;4;Movie 111;4
User 634;19974;4;Movie 1047;3
User 26;19981;4;Movie 369;2
User 181;19974;4;Movie 1163;2
User 405;19981;4;Movie 417;2
User 870;19974;4;Movie 770;4
User 881;19974;4;Movie 514;4
User 728;19974;4;Movie 546;2
User 353;19982;4;Movie 260;1
User 876;19974;4;Movie 48;5
User 417;19974;4;Movie 17;4
User 857;19974;4;Movie 325;1
User 698;19981;4;Movie 258;3
User 261;19981;4;Movie 326;4
User 524;19981;4;Movie 499;4
User 761;19974;4;Movie 295;4
User 696;19981;4;Movie 245;4
User 681;19981;4;Movie 690;4
User 293;19981;4;Movie 455;2
User 880;19982;4;Movie 348;4
User 663;19981;4;Movie 322;4
User 886;19974;4;Movie 232;3
User 453;19974;4;Movie 515;4
User 632;19974;4;Movie 591;4
User 290;19974;4;Movie 809;4
User 889;19974;4;Movie 488;2
User 820;19981;4;Movie 315;3
User 339;19981;4;Movie 515;5
User 768;19981;4;Movie 121;4
User 113;19974;4;Movie 325;4
User 176;19981;4;Movie 876;3
User 786;19974;4;Movie 99;4
User 301;19974;4;Movie 294;4
User 1;19974;4;Movie 203;4
User 450;19974;4;Movie 196;5
User 63;19974;4;Movie 1138;2
User 487;19974;4;Movie 289;2
User 862;19974;4;Movie 478;4
User 600;19981;4;Movie 570;4
User 896;19981;4;Movie 1101;2
User 177;19974;4;Movie 96;3
User 843;19974;4;Movie 542;2
User 896;19981;4;Movie 403;1
User 378;19974;4;Movie 40;3
User 313;19981;4;Movie 172;4
User 864;19974;4;Movie 13;4
User 682;19981;4;Movie 946;4
User 598;19981;4;Movie 691;2
User 699;19981;4;Movie 831;2
User 660;19981;4;Movie 385;3
User 385;19974;4;Movie 419;2
User 561;19981;4;Movie 1131;4
User 690;19974;4;Movie 8;4
User 389;19974;4;Movie 509;4
User 864;19981;4;Movie 386;3
User 721;19974;4;Movie 216;5
User 873;19982;4;Movie 300;4
User 363;19982;4;Movie 315;3
User 457;19974;4;Movie 196;5
User 642;19981;4;Movie 67;4
User 393;19981;4;Movie 344;3
User 68;19974;4;Movie 713;2
User 5;19973;4;Movie 406;1
User 451;19974;4;Movie 327;4
User 488;19981;4;Movie 173;4
User 293;19981;4;Movie 956;3
User 460;19974;4;Movie 313;4
User 457;19974;4;Movie 151;5
User 253;19982;4;Movie 655;4
User 486;19974;4;Movie 1322;3
User 880;19974;4;Movie 566;3
User 13;19974;4;Movie 531;3
User 864;19981;4;Movie 163;4
User 693;19973;4;Movie 1135;3
User 506;19973;4;Movie 399;5
User 824;19974;4;Movie 294;3
User 210;19981;4;Movie 654;5
User 880;19974;4;Movie 931;3
User 312;19982;4;Movie 660;4
User 401;19981;4;Movie 604;4
User 487;19974;4;Movie 150;5
User 788;19974;4;Movie 645;3
User 881;19974;4;Movie 135;4
User 796;19982;4;Movie 196;5
User 374;19974;4;Movie 1048;3
User 636;19982;4;Movie 100;5
User 858;19974;4;Movie 292;3
User 554;19974;4;Movie 22;4
User 63;19974;4;Movie 748;4
User 738;19973;4;Movie 214;4
User 601;19974;4;Movie 99;3
User 52;19974;4;Movie 1085;4
User 864;19981;4;Movie 222;4
User 655;19981;4;Movie 655;3
User 838;19981;4;Movie 143;5
User 848;19981;4;Movie 162;2
User 878;19974;4;Movie 794;4
User 33;19982;4;Movie 329;4
User 692;19974;4;Movie 25;4
User 812;19974;4;Movie 294;5
User 757;19981;4;Movie 156;3
User 361;19974;4;Movie 216;5
User 554;19974;4;Movie 230;5
User 422;19974;4;Movie 670;2
User 637;19974;4;Movie 121;4
User 867;19974;4;Movie 524;5
User 864;19981;4;Movie 173;5
User 455;19974;4;Movie 455;3
User 109;19974;4;Movie 209;1
User 713;19981;4;Movie 345;3
User 758;19974;4;Movie 474;5
User 870;19974;4;Movie 549;2
User 618;19981;4;Movie 443;4
User 782;19982;4;Movie 266;1
User 747;19981;4;Movie 480;5
User 807;19982;4;Movie 485;5
User 187;19974;4;Movie 83;5
User 753;19982;4;Movie 195;1
User 298;19981;4;Movie 526;5
User 336;19974;4;Movie 367;3
User 852;19981;4;Movie 930;3
User 290;19974;4;Movie 235;3
User 761;19974;4;Movie 326;1
User 711;19974;4;Movie 82;3
User 825;19974;4;Movie 870;3
User 465;19974;4;Movie 428;3
User 43;19981;4;Movie 70;4
User 887;19974;4;Movie 1015;5
User 590;19974;4;Movie 116;5
User 844;19974;4;Movie 318;4
User 328;19981;4;Movie 939;4
User 407;19974;4;Movie 675;3
User 877;19974;4;Movie 59;5
User 630;19981;4;Movie 756;4
User 329;19982;4;Movie 302;5
User 661;19974;4;Movie 972;3
User 447;19974;4;Movie 227;2
User 293;19981;4;Movie 218;2
User 248;19981;4;Movie 172;4
User 10;19974;4;Movie 654;5
User 639;19981;4;Movie 1465;2
User 883;19982;4;Movie 69;2
User 881;19974;4;Movie 179;5
User 731;19981;4;Movie 648;4
User 889;19974;4;Movie 1589;5
User 642;19981;4;Movie 944;5
User 833;19974;4;Movie 427;3
User 686;19974;4;Movie 97;2
User 846;19981;4;Movie 46;4
User 313;19981;4;Movie 58;3
User 655;19981;4;Movie 287;3
User 592;19974;4;Movie 1010;5
User 773;19981;4;Movie 2;3
User 838;19981;4;Movie 302;4
User 640;19973;4;Movie 496;4
User 356;19982;4;Movie 312;3
User 846;19981;4;Movie 1133;2
User 727;19981;4;Movie 1;3
User 639;19981;4;Movie 116;3
User 788;19974;4;Movie 228;3
User 854;19974;4;Movie 487;4
User 727;19981;4;Movie 206;3
User 893;19973;4;Movie 426;4
User 402;19974;4;Movie 483;5
User 286;19974;4;Movie 116;5
User 691;19973;4;Movie 631;4
User 311;19981;4;Movie 210;5
User 896;19981;4;Movie 108;3
User 601;19974;4;Movie 259;1
User 858;19974;4;Movie 181;2
User 702;19981;4;Movie 687;1
User 640;19973;4;Movie 47;4
User 279;19973;4;Movie 862;5
User 424;19974;4;Movie 100;5
User 661;19981;4;Movie 230;4
User 605;19974;4;Movie 117;2
User 845;19981;4;Movie 272;3
User 592;19974;4;Movie 890;1
User 852;19981;4;Movie 678;3
User 682;19981;4;Movie 1188;3
User 846;19981;4;Movie 1101;3
User 804;19974;4;Movie 972;3
User 365;19981;4;Movie 309;1
User 606;19974;4;Movie 1055;4
User 790;19981;4;Movie 173;3
User 882;19974;4;Movie 186;5
User 870;19974;4;Movie 1006;2
User 653;19981;4;Movie 657;4
User 882;19974;4;Movie 215;5
User 410;19981;4;Movie 354;3
User 591;19981;4;Movie 79;4
User 193;19981;4;Movie 121;3
User 57;19981;4;Movie 117;4
User 634;19974;4;Movie 222;3
User 308;19981;4;Movie 73;3
User 552;19974;4;Movie 284;3
User 844;19974;4;Movie 69;5
User 790;19981;4;Movie 42;5
User 878;19974;4;Movie 286;4
User 510;19981;4;Movie 322;3
User 595;19981;4;Movie 948;3
User 660;19981;4;Movie 1110;2
User 764;19974;4;Movie 28;4
User 755;19974;4;Movie 311;4
User 248;19981;4;Movie 98;5
User 799;19974;4;Movie 654;5
User 631;19981;4;Movie 334;2
User 846;19981;4;Movie 504;5
User 560;19974;4;Movie 268;4
User 782;19982;4;Movie 1283;2
User 650;19982;4;Movie 568;3
User 868;19974;4;Movie 452;2
User 382;19974;4;Movie 334;5
User 883;19982;4;Movie 53;5
User 449;19974;4;Movie 60;5
User 712;19973;4;Movie 755;4
User 842;19981;4;Movie 268;5
User 835;19981;4;Movie 215;4
User 862;19974;4;Movie 22;5
User 766;19981;4;Movie 496;5
User 592;19974;4;Movie 89;4
User 606;19974;4;Movie 55;4
User 437;19974;4;Movie 415;4
User 386;19974;4;Movie 597;3
User 805;19974;4;Movie 7;5
User 796;19982;4;Movie 173;5
User 764;19974;4;Movie 866;4
User 655;19981;4;Movie 1634;2
User 555;19974;4;Movie 129;4
User 543;19974;4;Movie 367;4
User 848;19981;4;Movie 125;5
User 463;19974;4;Movie 475;3
User 303;19974;4;Movie 128;4
User 466;19981;4;Movie 184;4
User 450;19974;4;Movie 133;5
User 889;19974;4;Movie 196;5
User 666;19974;4;Movie 866;2
User 894;19974;4;Movie 134;4
User 861;19974;4;Movie 86;5
User 91;19982;4;Movie 511;5
User 90;19982;4;Movie 212;4
User 892;19981;4;Movie 87;5
User 541;19981;4;Movie 511;4
User 159;19981;4;Movie 1221;5
User 879;19981;4;Movie 1;4
User 505;19981;4;Movie 102;1
User 666;19974;4;Movie 89;4
User 828;19981;4;Movie 83;3
User 703;19973;4;Movie 596;3
User 479;19974;4;Movie 526;4
User 454;19981;4;Movie 1126;2
User 645;19982;4;Movie 239;3
User 663;19981;4;Movie 682;3
User 734;19981;4;Movie 423;4
User 728;19974;4;Movie 147;4
User 95;19974;4;Movie 195;5
User 234;19982;4;Movie 832;2
User 698;19981;4;Movie 482;2
User 606;19974;4;Movie 963;5
User 768;19981;4;Movie 966;4
User 662;19974;4;Movie 985;4
User 682;19981;4;Movie 249;3
User 582;19974;4;Movie 1014;4
User 889;19974;4;Movie 886;3
User 618;19981;4;Movie 127;5
User 537;19981;4;Movie 448;3
User 479;19974;4;Movie 95;4
User 846;19981;4;Movie 400;1
User 450;19974;4;Movie 620;4
User 504;19981;4;Movie 440;3
User 710;19974;4;Movie 334;2
User 806;19974;4;Movie 162;3
User 802;19974;4;Movie 484;3
User 886;19974;4;Movie 108;5
User 889;19974;4;Movie 73;3
User 194;19974;4;Movie 387;2
User 882;19974;4;Movie 105;3
User 385;19974;4;Movie 98;4
User 450;19981;4;Movie 310;4
User 804;19974;4;Movie 63;4
User 297;19973;4;Movie 210;4
User 896;19981;4;Movie 281;2
User 660;19981;4;Movie 230;3
User 846;19981;4;Movie 1182;2
User 846;19981;4;Movie 837;5
User 429;19974;4;Movie 28;3
User 666;19974;4;Movie 144;3
User 372;19974;4;Movie 674;5
User 249;19974;4;Movie 407;3
User 758;19974;4;Movie 231;3
User 9;19981;4;Movie 201;5
User 804;19974;4;Movie 826;3
User 653;19974;4;Movie 294;2
User 682;19981;4;Movie 274;4
User 896;19981;4;Movie 67;2
User 727;19981;4;Movie 29;3
User 630;19981;4;Movie 687;3
User 717;19981;4;Movie 975;2
User 796;19982;4;Movie 232;3
User 886;19974;4;Movie 273;2
User 493;19981;4;Movie 173;4
User 603;19982;4;Movie 216;4
User 883;19982;4;Movie 882;4
User 886;19974;4;Movie 419;3
User 853;19974;4;Movie 873;3
User 18;19974;4;Movie 22;5
User 365;19981;4;Movie 591;4
User 698;19981;4;Movie 199;2
User 181;19974;4;Movie 884;1
User 244;19974;4;Movie 249;4
User 666;19974;4;Movie 1021;5
User 869;19981;4;Movie 312;2
User 533;19974;4;Movie 120;1
User 678;19974;4;Movie 1115;3
User 896;19981;4;Movie 310;4
User 51;19974;4;Movie 181;5
User 846;19981;4;Movie 739;4
User 506;19973;4;Movie 323;3
User 740;19974;4;Movie 269;4
User 665;19981;4;Movie 12;4
User 551;19982;4;Movie 796;4
User 481;19981;4;Movie 484;4
User 749;19974;4;Movie 197;4
User 878;19974;4;Movie 126;3
User 745;19974;4;Movie 258;5
User 727;19981;4;Movie 435;3
User 870;19974;4;Movie 487;4
User 500;19981;4;Movie 821;2
User 753;19982;4;Movie 504;3
User 388;19981;4;Movie 680;5
User 871;19981;4;Movie 259;3
User 798;19973;4;Movie 283;5
User 892;19981;4;Movie 441;3
User 450;19974;4;Movie 618;4
User 536;19974;4;Movie 423;4
User 332;19981;4;Movie 307;5
User 764;19974;4;Movie 15;4
User 814;19981;4;Movie 443;3
User 897;19974;4;Movie 1;5
User 642;19981;4;Movie 1209;3
User 554;19974;4;Movie 756;3
User 328;19982;4;Movie 915;3
User 594;19973;4;Movie 357;4
User 878;19974;4;Movie 22;2
User 279;19974;4;Movie 373;4
User 706;19974;4;Movie 294;4
User 682;19981;4;Movie 948;2
User 751;19981;4;Movie 485;4
User 399;19974;4;Movie 181;3
User 405;19981;4;Movie 1311;1
User 657;19981;4;Movie 118;1
User 777;19974;4;Movie 521;5
User 796;19982;4;Movie 928;2
User 779;19974;4;Movie 71;4
User 75;19981;4;Movie 1152;1
User 214;19982;4;Movie 357;5
User 848;19981;4;Movie 195;3
User 763;19974;4;Movie 505;4
User 848;19981;4;Movie 99;3
User 724;19981;4;Movie 678;2
User 642;19981;4;Movie 122;2
User 682;19981;4;Movie 25;4
User 405;19981;4;Movie 161;1
User 847;19974;4;Movie 180;2
User 847;19974;4;Movie 183;4
User 370;19974;4;Movie 222;3
User 851;19974;4;Movie 313;4
User 853;19974;4;Movie 879;4
User 419;19974;4;Movie 275;5
User 843;19974;4;Movie 511;3
User 606;19974;4;Movie 173;5
User 734;19981;4;Movie 165;3
User 458;19981;4;Movie 603;4
User 659;19981;4;Movie 98;4
User 825;19974;4;Movie 1016;3
User 663;19981;4;Movie 1051;3
User 711;19974;4;Movie 241;4
User 894;19974;4;Movie 269;3
User 560;19974;4;Movie 476;2
User 655;19982;4;Movie 1296;3
User 844;19974;4;Movie 109;2
User 314;19974;4;Movie 508;3
User 831;19981;4;Movie 250;5
User 293;19981;4;Movie 420;4
User 518;19974;4;Movie 288;3
User 363;19982;4;Movie 429;5
User 820;19981;4;Movie 264;3
User 399;19974;4;Movie 378;3
User 561;19981;4;Movie 675;3
User 383;19981;4;Movie 205;4
User 815;19974;4;Movie 404;4
User 504;19981;4;Movie 939;4
User 537;19981;4;Movie 486;3
User 862;19974;4;Movie 433;4
User 658;19973;4;Movie 7;4
User 271;19981;4;Movie 690;4
User 513;19981;4;Movie 252;5
User 839;19974;4;Movie 220;3
User 705;19974;4;Movie 720;5
User 469;19974;4;Movie 199;4
User 727;19981;4;Movie 239;4
User 393;19981;4;Movie 597;3
User 890;19974;4;Movie 237;3
User 293;19981;4;Movie 571;2
User 679;19981;4;Movie 223;5
User 450;19974;4;Movie 300;4
User 622;19974;4;Movie 482;3
User 788;19974;4;Movie 492;3
User 642;19981;4;Movie 356;4
User 758;19974;4;Movie 273;4
User 664;19974;4;Movie 302;4
User 347;19974;4;Movie 200;4
User 833;19973;4;Movie 597;1
User 826;19981;4;Movie 627;4
User 864;19981;4;Movie 603;4
User 131;19981;4;Movie 744;4
User 653;19974;4;Movie 53;2
User 829;19974;4;Movie 640;3
User 828;19981;4;Movie 213;2
User 717;19981;4;Movie 678;3
User 345;19981;4;Movie 87;5
User 7;19981;4;Movie 546;4
User 690;19974;4;Movie 554;3
User 291;19973;4;Movie 1090;2
User 423;19982;4;Movie 307;3
User 787;19981;4;Movie 324;2
User 328;19981;4;Movie 657;4
User 830;19982;4;Movie 97;4
User 540;19974;4;Movie 628;3
User 75;19981;4;Movie 1048;4
User 13;19974;4;Movie 202;5
User 807;19982;4;Movie 678;3
User 707;19981;4;Movie 212;4
User 862;19974;4;Movie 429;5
User 507;19981;4;Movie 250;5
User 890;19974;4;Movie 181;4
User 823;19974;4;Movie 160;4
User 620;19981;4;Movie 123;3
User 158;19974;4;Movie 217;5
User 693;19981;4;Movie 378;2
User 421;19982;4;Movie 709;4
User 694;19974;4;Movie 511;5
User 271;19981;4;Movie 480;4
User 890;19974;4;Movie 89;4
User 632;19974;4;Movie 385;4
User 547;19981;4;Movie 289;3
User 684;19974;4;Movie 168;4
User 618;19981;4;Movie 109;2
User 14;19974;4;Movie 473;5
User 398;19974;4;Movie 72;3
User 705;19974;4;Movie 623;5
User 823;19974;4;Movie 164;3
User 864;19981;4;Movie 123;4
User 588;19981;4;Movie 82;5
User 696;19981;4;Movie 906;3
User 222;19974;4;Movie 537;4
User 796;19982;4;Movie 1;2
User 846;19981;4;Movie 172;4
User 880;19974;4;Movie 597;3
User 727;19981;4;Movie 926;3
User 577;19974;4;Movie 161;5
User 698;19981;4;Movie 588;4
User 541;19981;4;Movie 404;4
User 853;19974;4;Movie 292;4
User 746;19981;4;Movie 449;1
User 705;19974;4;Movie 89;2
User 890;19974;4;Movie 340;4
User 750;19974;4;Movie 683;1
User 788;19974;4;Movie 474;3
User 790;19981;4;Movie 288;4
User 867;19974;4;Movie 1608;2
User 897;19974;4;Movie 597;5
User 451;19974;4;Movie 330;3
User 707;19981;4;Movie 606;4
User 887;19974;4;Movie 993;5
User 374;19974;4;Movie 572;2
User 839;19974;4;Movie 129;4
User 833;19973;4;Movie 434;3
User 881;19974;4;Movie 141;3
User 463;19981;4;Movie 819;1
User 818;19982;4;Movie 322;2
User 704;19982;4;Movie 175;3
User 626;19974;4;Movie 258;4
User 840;19981;4;Movie 97;3
User 796;19982;4;Movie 183;5
User 524;19981;4;Movie 241;5
User 18;19974;4;Movie 210;5
User 141;19981;4;Movie 409;5
User 621;19974;4;Movie 676;3
User 354;19981;4;Movie 602;3
User 535;19974;4;Movie 699;4
User 710;19974;4;Movie 874;3
User 379;19974;4;Movie 193;4
User 741;19981;4;Movie 423;3
User 758;19974;4;Movie 33;4
User 727;19981;4;Movie 246;4
User 790;19981;4;Movie 231;4
User 764;19974;4;Movie 432;5
User 565;19981;4;Movie 381;2
User 698;19981;4;Movie 648;4
User 249;19974;4;Movie 179;5
User 868;19974;4;Movie 232;1
User 56;19982;4;Movie 50;5
User 881;19974;4;Movie 281;3
User 675;19981;4;Movie 318;5
User 537;19981;4;Movie 272;4
User 889;19974;4;Movie 655;4
User 890;19974;4;Movie 163;3
User 683;19982;4;Movie 22;4
User 586;19981;4;Movie 451;4
User 892;19981;4;Movie 226;3
User 807;19982;4;Movie 73;3
User 606;19981;4;Movie 260;3
User 747;19981;4;Movie 268;5
User 846;19981;4;Movie 238;5
User 398;19974;4;Movie 202;3
User 795;19974;4;Movie 386;3
User 233;19974;4;Movie 127;5
User 641;19974;4;Movie 50;3
User 393;19981;4;Movie 687;3
User 814;19981;4;Movie 675;3
User 655;19982;4;Movie 1214;2
User 793;19973;4;Movie 288;4
User 825;19974;4;Movie 258;4
User 826;19981;4;Movie 232;3
User 535;19974;4;Movie 425;5
User 880;19974;4;Movie 1284;4
User 149;19974;4;Movie 245;3
User 658;19973;4;Movie 86;4
User 887;19974;4;Movie 369;5
User 770;19974;4;Movie 93;5
User 505;19981;4;Movie 471;4
User 831;19981;4;Movie 150;3
User 852;19981;4;Movie 841;4
User 880;19974;4;Movie 879;3
User 749;19974;4;Movie 232;4
User 322;19981;4;Movie 346;3
User 728;19974;4;Movie 285;4
User 554;19974;4;Movie 1012;3
User 684;19974;4;Movie 49;4
User 863;19981;4;Movie 242;4
User 496;19974;4;Movie 150;2
User 862;19974;4;Movie 121;5
User 864;19981;4;Movie 215;4
User 508;19981;4;Movie 208;5
User 747;19981;4;Movie 508;5
User 234;19982;4;Movie 557;1
User 639;19981;4;Movie 582;3
User 617;19981;4;Movie 1021;4
User 758;19974;4;Movie 780;5
User 450;19981;4;Movie 114;5
User 47;19974;4;Movie 301;4
User 880;19974;4;Movie 451;2
User 677;19981;4;Movie 678;4
User 883;19982;4;Movie 709;5
User 442;19974;4;Movie 68;3
User 889;19974;4;Movie 1103;2
User 845;19981;4;Movie 1434;4
User 334;19982;4;Movie 225;3
User 749;19974;4;Movie 96;5
User 731;19981;4;Movie 196;5
User 846;19981;4;Movie 606;4
User 387;19981;4;Movie 430;3
User 7;19981;4;Movie 443;5
User 766;19981;4;Movie 175;3
User 830;19982;4;Movie 523;4
User 701;19982;4;Movie 311;5
User 430;19974;4;Movie 528;4
User 299;19974;4;Movie 93;2
User 70;19981;4;Movie 684;3
User 456;19974;4;Movie 1017;4
User 271;19981;4;Movie 792;4
User 194;19974;4;Movie 657;4
User 537;19981;4;Movie 1005;3
User 805;19974;4;Movie 541;3
User 271;19981;4;Movie 763;3
User 897;19974;4;Movie 472;5
User 374;19981;4;Movie 527;4
User 789;19974;4;Movie 50;5
User 653;19974;4;Movie 179;4
User 731;19981;4;Movie 427;5
User 773;19981;4;Movie 176;4
User 561;19981;4;Movie 70;4
User 561;19981;4;Movie 86;4
User 863;19981;4;Movie 361;5
User 685;19974;4;Movie 299;2
User 887;19974;4;Movie 1;5
User 13;19981;4;Movie 750;5
User 379;19974;4;Movie 644;5
User 85;19974;4;Movie 1070;4
User 399;19974;4;Movie 144;3
User 697;19974;4;Movie 288;2
User 881;19974;4;Movie 112;2
User 632;19974;4;Movie 82;4
User 889;19974;4;Movie 728;3
User 554;19974;4;Movie 204;5
User 373;19974;4;Movie 80;3
User 198;19981;4;Movie 462;3
User 727;19981;4;Movie 167;2
User 676;19982;4;Movie 471;3
User 387;19981;4;Movie 248;4
User 833;19973;4;Movie 1231;4
User 878;19974;4;Movie 212;3
User 623;19981;4;Movie 210;5
User 781;19974;4;Movie 174;5
User 13;19974;4;Movie 817;1
User 171;19981;4;Movie 288;2
User 758;19974;4;Movie 657;5
User 458;19981;4;Movie 129;4
User 374;19974;4;Movie 756;3
User 165;19974;4;Movie 174;4
User 313;19981;4;Movie 654;5
User 648;19974;4;Movie 275;5
User 901;19974;4;Movie 275;3
User 780;19981;4;Movie 187;5
User 727;19981;4;Movie 369;2
User 655;19981;4;Movie 375;2
